Location,Klf4,Sox2,Nanog,Tcfcp2l1,Esrrb
122642326,0,0,0,0,0
122642351,0,0,0,0,0
122642376,0,0,0,0,0
122642401,0,0,0,0,0
122642426,0,0,0,0,0
122642451,0,0,0,0,0
122642476,0,0,0,0,0
122642501,0,0,0,0,0
122642526,0,0,0,1,0
122642551,1,0,0,1,0
122642576,1,0,0,0,0
122642601,0,1,1,0,0
122642626,0,1,1,0,0
122642651,0,0,0,0,0
122642676,0,0,0,0,0
122642701,0,0,0,0,1
122642726,0,0,0,0,1
122642751,0,0,0,0,0
122642776,0,0,0,0,0
122642801,0,0,0,0,0
122642826,0,0,0,0,0
122642851,0,0,0,0,0
122642876,0,0,0,0,0
122642901,0,0,0,0,0
122642926,0,0,0,0,1
122642951,0,0,0,0,1
122642976,0,0,0,0,0
122643001,0,0,0,0,0
122643026,0,0,1,0,1
122643051,0,0,1,0,1
122643076,0,0,1,0,1
122643101,0,0,1,0,1
122643126,1,2,0,0,2
122643151,1,2,0,0,2
122643176,0,0,0,0,0
122643201,0,2,1,0,1
122643226,0,2,1,0,1
122643251,0,0,0,0,0
122643276,0,0,0,0,0
122643301,0,0,0,1,0
122643326,1,0,0,1,3
122643351,1,0,1,0,4
122643376,0,0,1,1,1
122643401,0,0,0,1,1
122643426,0,1,0,0,1
122643451,1,1,0,0,0
122643476,2,0,0,0,0
122643501,1,1,1,0,3
122643526,0,1,1,0,4
122643551,0,0,0,0,1
122643576,0,0,0,0,0
122643601,0,0,0,0,0
122643626,0,0,0,0,0
122643651,0,0,0,0,0
122643676,0,0,0,0,0
122643701,0,0,0,0,0
122643726,0,0,0,0,0
122643751,0,0,0,0,0
122643776,0,0,0,0,0
122643801,0,0,0,0,0
122643826,0,0,0,0,0
122643851,0,0,0,0,1
122643876,0,0,0,0,2
122643901,0,0,0,0,1
122643926,0,0,0,0,0
122643951,1,0,0,0,0
122643976,1,0,1,1,1
122644001,0,0,1,1,4
122644026,1,0,1,1,3
122644051,1,0,1,1,1
122644076,0,1,0,0,1
122644101,0,1,0,0,1
122644126,0,0,0,0,0
122644151,0,0,0,1,0
122644176,0,0,0,1,3
122644201,0,0,2,2,6
122644226,0,1,2,3,4
122644251,0,1,3,1,4
122644276,0,2,3,2,5
122644301,1,2,1,2,5
122644326,1,0,2,0,5
122644351,0,0,1,0,3
122644376,0,0,0,1,2
122644401,0,0,0,1,2
122644426,0,0,1,0,2
122644451,0,0,1,2,2
122644476,0,0,0,2,1
122644501,0,0,0,0,0
122644526,0,0,0,0,0
122644551,0,0,0,0,0
122644576,0,0,0,0,1
122644601,1,0,0,1,3
122644626,1,0,0,1,4
122644651,0,0,0,0,2
122644676,0,0,0,1,1
122644701,0,1,0,1,2
122644726,1,1,0,0,1
122644751,1,0,0,0,2
122644776,0,0,0,0,2
122644801,1,0,0,0,1
122644826,1,0,0,0,1
122644851,0,1,0,0,2
122644876,0,1,0,0,3
122644901,0,0,1,1,1
122644926,1,0,1,1,1
122644951,1,0,1,0,1
122644976,0,0,1,0,0
122645001,0,0,0,0,0
122645026,0,1,0,0,2
122645051,0,1,0,0,7
122645076,1,1,0,0,9
122645101,1,1,0,0,9
122645126,0,0,0,1,8
122645151,0,0,1,1,6
122645176,1,0,1,0,11
122645201,1,0,0,1,18
122645226,0,0,2,1,16
122645251,1,0,3,0,12
122645276,1,0,1,0,12
122645301,1,0,0,0,6
122645326,2,0,0,0,1
122645351,1,0,2,0,1
122645376,0,0,2,0,4
122645401,1,0,1,0,5
122645426,1,0,0,0,2
122645451,0,0,0,0,0
122645476,1,1,0,0,2
122645501,1,1,0,1,2
122645526,2,0,0,2,2
122645551,2,0,0,1,1
122645576,1,0,0,0,0
122645601,1,0,0,0,0
122645626,0,0,0,0,0
122645651,0,0,1,1,3
122645676,1,0,1,1,4
122645701,1,1,1,0,1
122645726,0,1,1,0,0
122645751,1,0,0,0,0
122645776,2,0,0,0,0
122645801,1,0,0,0,0
122645826,0,0,0,0,0
122645851,0,0,0,0,0
122645876,0,0,0,0,0
122645901,0,0,0,0,0
122645926,1,0,0,0,0
122645951,1,0,0,0,1
122645976,0,0,0,0,1
122646001,0,0,0,0,0
122646026,0,0,0,0,0
122646051,0,0,0,0,0
122646076,0,0,0,0,1
122646101,0,0,0,0,2
122646126,0,0,0,0,1
122646151,0,0,0,0,1
122646176,0,0,0,0,0
122646201,0,0,0,0,0
122646226,0,0,0,0,0
122646251,0,0,0,0,0
122646276,0,0,0,0,0
122646301,0,0,0,0,0
122646326,0,0,0,0,0
122646351,0,0,0,0,0
122646376,0,0,0,0,0
122646401,0,0,0,1,0
122646426,0,0,0,1,2
122646451,0,0,0,0,2
122646476,0,0,0,0,0
122646501,1,0,0,0,0
122646526,1,0,0,0,1
122646551,0,0,0,0,1
122646576,0,0,0,0,0
122646601,0,0,0,0,0
122646626,0,0,0,0,0
122646651,0,0,0,0,0
122646676,0,0,0,0,0
122646701,0,0,0,0,0
122646726,0,0,0,0,0
122646751,0,0,0,0,0
122646776,0,0,0,0,1
122646801,0,0,0,0,1
122646826,0,0,0,0,0
122646851,0,0,0,0,0
122646876,0,0,0,0,0
122646901,0,0,0,0,0
122646926,0,0,0,0,0
122646951,0,0,1,1,0
122646976,0,0,2,1,0
122647001,1,0,1,0,0
122647026,1,0,0,0,0
122647051,0,0,0,1,1
122647076,0,1,0,1,1
122647101,0,1,1,0,1
122647126,0,0,1,1,1
122647151,0,0,0,1,0
122647176,0,0,0,0,0
122647201,0,0,0,0,0
122647226,0,0,0,0,0
122647251,0,0,0,0,0
122647276,0,0,0,0,0
122647301,0,0,0,0,0
122647326,0,0,0,0,0
122647351,0,1,0,0,0
122647376,0,1,0,1,0
122647401,1,1,1,1,0
122647426,1,1,1,0,0
122647451,0,0,0,0,1
122647476,0,0,0,0,1
122647501,0,0,0,0,0
122647526,0,0,0,0,0
122647551,0,0,1,1,0
122647576,0,0,1,1,0
122647601,0,0,0,0,0
122647626,0,0,0,0,0
122647651,0,0,0,0,0
122647676,0,0,0,0,0
122647701,0,0,0,0,0
122647726,0,0,0,0,0
122647751,0,0,0,0,0
122647776,0,1,0,1,0
122647801,0,1,0,2,0
122647826,0,0,0,1,0
122647851,0,0,0,0,0
122647876,0,0,0,0,0
122647901,0,0,0,0,0
122647926,1,0,0,1,0
122647951,1,0,1,1,0
122647976,0,0,1,0,0
122648001,0,0,0,0,0
122648026,0,0,0,0,0
122648051,0,0,0,0,0
122648076,0,0,0,0,0
122648101,0,0,0,0,0
122648126,0,0,0,0,0
122648151,0,0,0,0,0
122648176,0,0,0,0,0
122648201,0,0,0,0,0
122648226,0,0,0,0,0
122648251,0,0,0,0,1
122648276,0,0,0,0,2
122648301,0,0,0,0,1
122648326,0,0,0,0,0
122648351,0,0,0,0,0
122648376,0,0,0,0,0
122648401,0,0,0,0,0
122648426,0,0,0,0,0
122648451,0,0,0,0,0
122648476,0,0,0,0,0
122648501,0,1,0,0,0
122648526,0,2,0,1,1
122648551,0,1,0,1,1
122648576,0,0,0,0,0
122648601,0,0,0,0,0
122648626,0,0,0,0,0
122648651,0,0,0,0,0
122648676,0,0,0,0,0
122648701,0,0,0,0,0
122648726,0,0,1,0,2
122648751,0,0,1,0,2
122648776,0,0,0,0,0
122648801,1,0,0,0,0
122648826,4,1,0,0,1
122648851,4,1,0,0,1
122648876,0,0,0,0,0
122648901,0,0,0,0,0
122648926,0,0,0,0,0
122648951,0,0,0,0,0
122648976,0,0,0,0,0
122649001,0,0,0,0,0
122649026,0,0,0,0,0
122649051,0,1,0,1,0
122649076,1,1,0,1,0
122649101,1,0,0,0,0
122649126,0,0,0,1,0
122649151,0,0,0,1,0
122649176,0,0,0,0,0
122649201,0,0,0,0,0
122649226,0,0,1,1,0
122649251,0,0,1,1,0
122649276,0,0,0,0,0
122649301,0,0,0,0,0
122649326,0,0,0,0,0
122649351,0,0,0,0,0
122649376,0,0,0,0,0
122649401,0,0,0,0,0
122649426,0,0,0,0,0
122649451,0,0,0,1,0
122649476,0,0,0,1,1
122649501,0,1,0,0,1
122649526,0,1,0,0,0
122649551,0,0,0,0,0
122649576,0,0,0,0,0
122649601,0,0,0,0,0
122649626,0,0,1,0,0
122649651,0,0,1,0,0
122649676,0,0,0,0,0
122649701,0,0,0,0,0
122649726,0,0,0,0,0
122649751,0,0,0,0,0
122649776,0,0,0,0,1
122649801,0,0,0,1,2
122649826,0,0,0,2,1
122649851,0,0,0,1,1
122649876,2,0,1,1,1
122649901,2,0,1,0,1
122649926,0,0,0,0,0
122649951,0,0,0,0,0
122649976,0,1,0,1,0
122650001,0,1,0,1,0
122650026,0,0,0,0,0
122650051,0,0,0,0,2
122650076,0,0,0,0,2
122650101,0,0,0,0,0
122650126,0,0,1,0,0
122650151,0,0,1,0,0
122650176,0,0,0,0,0
122650201,0,0,0,0,0
122650226,0,0,0,0,1
122650251,1,0,0,0,1
122650276,1,0,0,0,0
122650301,0,0,0,0,0
122650326,0,0,0,0,0
122650351,0,0,0,0,0
122650376,0,0,0,0,0
122650401,0,0,0,0,0
122650426,0,0,0,0,0
122650451,0,0,0,0,0
122650476,0,0,1,0,0
122650501,0,0,1,0,0
122650526,0,0,0,0,0
122650551,0,0,0,0,0
122650576,0,0,0,0,0
122650601,0,0,0,0,0
122650626,0,0,0,0,0
122650651,0,0,0,0,0
122650676,0,0,0,0,0
122650701,0,0,0,0,0
122650726,0,0,0,0,0
122650751,0,0,0,0,0
122650776,0,0,0,0,0
122650801,0,0,0,0,0
122650826,0,0,0,0,0
122650851,0,0,0,0,0
122650876,0,0,0,0,0
122650901,0,0,0,0,0
122650926,0,0,0,0,0
122650951,0,0,0,0,0
122650976,0,0,0,0,0
122651001,0,0,0,0,0
122651026,0,0,0,0,0
122651051,0,0,0,0,0
122651076,0,0,0,0,0
122651101,0,0,0,0,0
122651126,0,0,0,0,0
122651151,0,0,1,0,0
122651176,0,0,1,0,0
122651201,0,1,0,0,1
122651226,0,1,0,0,1
122651251,0,0,0,0,1
122651276,0,0,0,0,1
122651301,0,0,0,0,0
122651326,0,0,0,0,0
122651351,0,0,0,0,0
122651376,0,0,0,0,0
122651401,0,0,0,0,0
122651426,0,0,0,0,0
122651451,0,0,2,0,0
122651476,0,0,2,1,0
122651501,0,0,0,1,0
122651526,0,0,0,0,0
122651551,0,0,0,1,0
122651576,0,0,1,1,0
122651601,0,1,1,2,0
122651626,0,1,2,4,0
122651651,0,0,2,2,1
122651676,0,0,1,0,1
122651701,1,0,1,1,1
122651726,1,0,0,1,1
122651751,0,0,0,0,0
122651776,0,0,0,0,0
122651801,0,0,0,0,0
122651826,0,0,0,0,0
122651851,1,1,0,0,0
122651876,1,1,0,0,0
122651901,0,0,0,0,1
122651926,0,0,0,1,1
122651951,0,0,0,1,0
122651976,0,0,0,0,0
122652001,1,1,0,1,0
122652026,1,1,0,3,1
122652051,0,1,0,3,1
122652076,0,1,0,1,1
122652101,0,0,0,1,2
122652126,0,0,0,1,1
122652151,0,0,0,2,1
122652176,0,0,0,2,1
122652201,0,0,0,1,0
122652226,0,0,0,1,0
122652251,0,0,0,0,1
122652276,1,0,0,0,2
122652301,3,0,1,0,1
122652326,2,0,1,0,0
122652351,0,0,0,0,0
122652376,0,0,0,2,1
122652401,0,1,1,3,2
122652426,1,1,3,4,2
122652451,3,0,2,8,3
122652476,3,1,3,14,4
122652501,1,3,5,27,7
122652526,5,2,8,41,13
122652551,9,2,8,44,14
122652576,8,4,8,49,8
122652601,8,4,14,60,7
122652626,8,3,13,67,7
122652651,9,4,12,85,6
122652676,10,4,12,98,8
122652701,6,1,7,79,9
122652726,1,3,5,63,8
122652751,3,4,4,60,9
122652776,4,2,2,56,7
122652801,2,2,2,51,9
122652826,3,1,2,44,16
122652851,2,0,0,37,14
122652876,1,0,0,41,11
122652901,1,0,0,50,13
122652926,2,1,1,54,18
122652951,6,2,1,65,17
122652976,5,3,1,66,11
122653001,4,3,5,81,10
122653026,5,3,6,91,10
122653051,5,3,2,77,12
122653076,6,3,0,59,12
122653101,6,5,2,56,13
122653126,6,3,2,52,7
122653151,3,0,0,41,0
122653176,1,2,0,24,2
122653201,1,3,0,13,6
122653226,2,1,0,7,5
122653251,3,0,0,4,2
122653276,1,0,0,1,1
122653301,0,0,0,0,0
122653326,0,0,0,0,0
122653351,0,0,0,1,1
122653376,1,0,0,2,1
122653401,1,3,0,1,1
122653426,0,4,0,2,2
122653451,0,1,0,1,2
122653476,1,1,1,2,1
122653501,1,2,1,5,1
122653526,0,2,1,4,2
122653551,0,1,1,1,1
122653576,0,0,1,1,0
122653601,0,0,2,1,0
122653626,1,1,3,1,2
122653651,1,1,3,1,2
122653676,0,0,1,0,2
122653701,1,0,0,0,1
122653726,1,0,0,0,0
122653751,1,0,0,1,0
122653776,1,0,0,2,1
122653801,0,0,0,3,2
122653826,0,0,0,3,1
122653851,0,0,1,3,1
122653876,0,0,1,2,2
122653901,0,0,0,2,3
122653926,1,0,0,2,1
122653951,1,0,2,0,1
122653976,1,0,2,0,1
122654001,1,0,0,0,1
122654026,0,0,0,0,1
122654051,0,1,0,2,0
122654076,0,3,0,2,1
122654101,0,2,0,0,2
122654126,0,0,0,1,1
122654151,0,0,0,1,0
122654176,0,0,1,1,0
122654201,0,0,1,1,1
122654226,1,1,0,0,2
122654251,1,1,1,0,1
122654276,0,0,1,0,0
122654301,0,1,0,1,1
122654326,0,1,0,1,1
122654351,0,0,0,1,0
122654376,0,0,0,1,0
122654401,0,1,0,0,0
122654426,0,2,0,0,0
122654451,0,1,0,0,1
122654476,0,0,0,0,1
122654501,0,0,0,0,0
122654526,0,0,0,1,0
122654551,0,0,0,1,0
122654576,0,0,0,0,0
122654601,0,0,0,0,0
122654626,0,0,0,0,0
122654651,0,0,0,0,0
122654676,0,0,0,0,0
122654701,0,0,0,0,0
122654726,0,0,0,0,0
122654751,0,0,0,0,0
122654776,0,0,0,0,0
122654801,0,0,0,0,0
122654826,0,0,0,0,0
122654851,0,0,0,0,0
122654876,0,0,0,0,0
122654901,0,0,0,0,0
122654926,0,0,0,0,0
122654951,0,0,0,0,0
122654976,0,0,1,0,0
122655001,0,0,1,0,0
122655026,0,0,0,0,0
122655051,0,0,0,0,0
122655076,0,0,0,0,0
122655101,0,0,0,0,0
122655126,1,1,0,0,0
122655151,1,1,0,1,1
122655176,0,0,1,1,1
122655201,0,0,1,1,0
122655226,0,0,0,0,0
122655251,0,0,0,0,0
122655276,0,0,0,0,1
122655301,1,0,0,2,5
122655326,1,0,0,3,6
122655351,1,0,0,6,5
122655376,3,0,0,13,9
122655401,5,0,1,10,7
122655426,5,0,1,3,3
122655451,1,0,0,1,1
122655476,0,0,0,0,0
122655501,0,0,0,0,0
122655526,0,0,0,0,0
122655551,0,0,0,0,0
122655576,0,0,0,0,0
122655601,0,0,0,0,0
122655626,0,0,0,2,0
122655651,0,0,0,2,0
122655676,0,1,0,0,0
122655701,0,1,0,0,0
122655726,0,0,0,1,0
122655751,0,0,0,2,1
122655776,0,0,0,1,2
122655801,0,0,1,0,1
122655826,0,0,1,0,0
122655851,0,0,1,0,0
122655876,0,0,2,0,0
122655901,0,0,1,0,0
122655926,0,0,0,0,0
122655951,0,1,1,1,0
122655976,0,1,1,2,0
122656001,0,0,0,1,0
122656026,0,0,0,1,0
122656051,1,1,0,2,0
122656076,1,1,2,1,0
122656101,3,1,3,0,0
122656126,3,1,1,1,1
122656151,0,1,0,1,1
122656176,0,0,0,0,0
122656201,0,0,0,0,1
122656226,0,0,0,0,1
122656251,1,0,1,0,0
122656276,1,0,1,1,0
122656301,0,0,0,1,0
122656326,0,0,0,0,0
122656351,0,0,0,1,1
122656376,0,0,1,1,1
122656401,1,0,2,0,0
122656426,1,1,1,1,0
122656451,0,1,0,1,2
122656476,0,1,0,0,2
122656501,0,0,0,2,0
122656526,0,1,0,4,0
122656551,0,2,0,3,0
122656576,0,1,0,3,0
122656601,1,0,0,7,2
122656626,1,0,0,8,3
122656651,0,0,0,3,1
122656676,0,0,2,1,0
122656701,1,1,2,0,0
122656726,1,1,1,1,0
122656751,0,0,0,1,0
122656776,0,0,0,0,0
122656801,0,0,2,1,1
122656826,1,0,2,1,1
122656851,1,0,0,0,0
122656876,0,0,1,1,0
122656901,1,0,1,1,0
122656926,1,0,0,0,0
122656951,0,0,1,1,0
122656976,0,0,1,2,1
122657001,0,0,0,1,2
122657026,0,0,0,0,3
122657051,0,0,0,0,2
122657076,1,1,0,0,3
122657101,2,3,0,0,4
122657126,2,2,0,0,5
122657151,3,0,0,0,8
122657176,2,1,0,0,7
122657201,0,2,0,1,6
122657226,1,1,1,1,6
122657251,1,1,1,1,8
122657276,0,1,0,1,9
122657301,1,1,2,1,8
122657326,2,1,2,2,7
122657351,2,0,1,3,8
122657376,1,1,3,6,15
122657401,0,6,3,6,16
122657426,0,5,2,3,14
122657451,1,1,2,4,15
122657476,3,2,3,5,11
122657501,5,2,2,4,7
122657526,5,2,0,4,7
122657551,4,3,0,2,8
122657576,7,2,0,1,8
122657601,5,0,0,3,5
122657626,1,0,0,2,2
122657651,2,0,1,0,3
122657676,2,0,2,1,3
122657701,1,0,2,1,2
122657726,0,1,1,0,1
122657751,1,1,1,1,0
122657776,1,1,3,2,1
122657801,2,1,2,2,1
122657826,2,1,0,1,1
122657851,1,0,2,1,1
122657876,1,0,2,1,0
122657901,0,0,1,2,1
122657926,0,0,1,1,1
122657951,0,0,0,0,1
122657976,0,0,0,0,1
122658001,0,1,0,1,0
122658026,1,1,0,1,0
122658051,2,0,0,0,1
122658076,1,0,0,0,1
122658101,0,0,0,0,0
122658126,0,0,0,1,0
122658151,1,1,0,1,1
122658176,2,1,0,0,1
122658201,1,0,0,0,1
122658226,0,0,0,0,1
122658251,0,1,0,0,0
122658276,0,1,0,0,0
122658301,0,0,0,0,0
122658326,0,0,1,0,0
122658351,0,0,1,0,0
122658376,0,0,1,0,1
122658401,0,0,1,0,1
122658426,0,2,0,0,0
122658451,0,5,1,0,0
122658476,2,3,2,0,0
122658501,2,0,1,1,0
122658526,1,0,0,1,0
122658551,0,0,1,0,0
122658576,0,0,1,1,0
122658601,1,0,2,2,0
122658626,1,0,3,1,0
122658651,1,0,1,0,0
122658676,1,0,0,0,1
122658701,0,0,0,0,1
122658726,0,0,1,0,0
122658751,0,0,1,0,0
122658776,0,0,0,0,0
122658801,0,0,0,0,0
122658826,0,0,0,0,0
122658851,0,0,0,0,0
122658876,0,1,1,0,0
122658901,0,2,4,0,0
122658926,0,1,3,1,0
122658951,0,1,0,2,0
122658976,0,1,1,2,0
122659001,1,2,1,1,1
122659026,1,2,0,0,1
122659051,0,0,0,1,0
122659076,1,0,0,1,0
122659101,1,0,0,0,1
122659126,0,0,0,0,1
122659151,0,0,0,0,1
122659176,0,0,1,1,2
122659201,1,1,1,1,1
122659226,1,1,1,0,0
122659251,0,0,1,0,0
122659276,0,0,0,0,0
122659301,0,0,0,0,0
122659326,1,0,2,0,0
122659351,1,0,2,0,0
122659376,0,0,1,0,0
122659401,0,0,0,0,0
122659426,0,0,0,0,0
122659451,0,0,0,0,0
122659476,0,0,0,0,0
122659501,0,0,0,0,0
122659526,1,0,0,0,0
122659551,1,0,0,0,0
122659576,0,0,1,0,1
122659601,0,0,1,0,1
122659626,0,0,0,0,2
122659651,0,0,0,0,2
122659676,0,0,0,0,0
122659701,0,0,1,0,0
122659726,0,0,1,0,0
122659751,0,0,0,0,0
122659776,0,0,0,0,0
122659801,0,0,0,0,0
122659826,0,0,0,0,0
122659851,0,0,0,0,0
122659876,0,0,0,0,0
122659901,0,1,1,0,0
122659926,0,1,1,0,0
122659951,0,0,0,0,0
122659976,0,0,0,0,0
122660001,0,0,0,0,0
122660026,0,0,0,1,0
122660051,0,0,0,1,0
122660076,0,0,0,1,0
122660101,0,0,0,2,0
122660126,0,0,0,3,1
122660151,0,0,1,4,1
122660176,0,0,1,2,0
122660201,0,0,1,1,0
122660226,0,0,1,1,0
122660251,0,0,0,0,0
122660276,0,0,0,0,0
122660301,0,0,0,0,1
122660326,0,0,1,0,1
122660351,0,0,1,0,0
122660376,0,0,0,0,0
122660401,0,0,0,0,0
122660426,0,0,0,0,0
122660451,0,1,0,0,1
122660476,0,1,0,0,1
122660501,0,0,0,0,0
122660526,0,0,0,0,0
122660551,0,0,0,0,0
122660576,0,0,0,0,0
122660601,0,0,0,0,0
122660626,0,0,0,0,0
122660651,1,0,1,0,0
122660676,1,0,1,0,0
122660701,0,0,1,0,1
122660726,0,0,1,0,1
122660751,0,0,0,0,0
122660776,0,0,0,0,0
122660801,0,0,0,0,0
122660826,0,0,0,0,0
122660851,0,0,0,0,0
122660876,0,0,0,0,0
122660901,0,0,0,0,0
122660926,0,0,0,0,0
122660951,0,0,0,0,0
122660976,0,0,0,0,0
122661001,0,0,0,0,0
122661026,0,0,0,0,0
122661051,0,0,0,0,0
122661076,0,0,0,0,0
122661101,0,0,0,0,0
122661126,0,0,0,0,0
122661151,1,0,0,0,0
122661176,1,0,0,0,0
122661201,0,0,1,1,0
122661226,0,0,0,0,0
